Sample type,Count,BOLD database sequence,Data entry Sequence,Box Number,microplate ID,Well ID (for Jessica),Plate Count,NHS sequence number (BOLD Sample ID),spp,sequence,Label year,Date,Harvest Year,Age trait bee,Age Bee,Sex,KILLPROV,Lat DD,LongDD,Central Rectrix Length, Central Rectrix  Quill Dia , Central Moult code ,Longest Rectrix Length,Longest Rectrix Quill Dia ,Longest Moult code,Most lateral Rectrix Length,Most lateral Rectrix Quill Dia,Most Lateral Moult code,"Comment (e.g., missing feather)",Jim ID#,Jim Date,Jim Age,Jim Species,Jim Skull length (mm),Jim 2nd measurement,Jim CR length (entered at NWRC),Jim CR QD (entered at NWRC),Jim notes,Difference between NWRC and Jim measurement,Inferred Species Identification (BOLD ID engine),BOLD Processid,rechecked?,
NHS Barcoded,1,1081,1075,12,CCDB-24260,B05,17,172257627,1722,57627,2009,19-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.01666667,-96.93333333,178,0.113,,182,0.14,,176,0.128,,,,,,,,,,,,,Branta canadensis,GOOSE1081-16,,
NHS Barcoded,1,42,36,1,CCDB-26453,C12,36,172257628,1722,57628,2009,,2014,Both Same,Adult,Unknown,Manitoba,50.36666667,-96.71666667,,, missing ,,,missing,185,0.149,,MG confirmed,,,,,,,,,,,Branta canadensis,GOOSE042-16,rechecked,
NHS Barcoded,1,570,564,6,CCDB 26455,H05,89,172257629,1722,57629,2009,16-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.01666667,-96.93333333,190,0.136,,204,0.152,,194,0.149,,,,,,,,,,,,,Branta canadensis,GOOSE570-16,,
NHS Barcoded,1,540,534,6,CCDB 26455,E11,59,172257630,1722,57630,2009,20-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,51.28333333,-98.5,181,0.128,,190,0.144,,179,0.144,,,,,,,,,,,,,Branta canadensis,GOOSE540-16,,
NHS Not Barcoded or measured,1,2397,,,,,,172257631,1722,57631,2009,22-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.86666667,-97.38333333,,,,,,,,,,feathers substantially cut,,,,,,,,,,,,,,
NHS Barcoded,1,573,567,6,CCDB 26455,H08,92,172257632,1722,57632,2009,21-Sep-14,2014,Both Same,Immature,Unknown,Manitoba,50.01666667,-96.93333333,135,0.104,,145,0.12,,141,0.12,,,,,,,,,,,,,BOLD No result,,,
NHS Barcoded,1,382,376,4,CCDB-26454,H07,91,172257633,1722,57633,2009,20-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,50.81666667,-96.98333333,119,, 3B ,152,0.12,,143,0.128,,CR moult MG,,,,,,,,,,,Branta canadensis,GOOSE382-16,rechecked,
NHS Barcoded,1,536,530,6,CCDB 26455,E07,55,172257634,1722,57634,2009,21-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.01666667,-96.93333333,182,0.136,,198,0.14,,182,0.14,,,,,,,,,,,,,Branta canadensis,GOOSE536-16,,
NHS Barcoded,1,492,486,6,CCDB 26455,A11,11,172257635,1722,57635,2009,22-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.81666667,-97.03333333,165,0.111,,188,0.128,,174,0.128,,,,,,,,,,,,,Branta canadensis,GOOSE492-16,,
NHS Barcoded,1,537,531,6,CCDB 26455,E08,56,172257636,1722,57636,2009,26-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.75,-97.25,170,0.116,,182,0.136,,176,0.128,,,,,,,,,,,,,Branta canadensis,GOOSE537-16,,
NHS Barcoded,1,296,290,4,CCDB-26454,A05,5,172257637,1722,57637,2009,20-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.7,-97.41666667,173,0.128,,183,0.14,,168,0.152,,CR remeasured MG,,,,,,,,,,,Branta canadensis,GOOSE296-16,rechecked,
NHS Barcoded,1,569,563,6,CCDB 26455,H04,88,172257638,1722,57638,2009,21-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.01666667,-96.93333333,168,0.106,,175,0.12,,170,0.128,,,,,,,,,,,,,Branta canadensis,GOOSE569-16,,
NHS Barcoded,1,381,375,4,CCDB-26454,H06,90,172257639,1722,57639,2009,18-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.4,-99.15,169,0.12,,179,0.136,,166,0.136,,,,,,,,,,,,,Branta canadensis,GOOSE381-16,,
NHS Barcoded,1,496,490,6,CCDB 26455,B03,15,172257640,1722,57640,2009,26-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.75,-97.25,158,0.113,,170,0.12,,152,0.128, ,,,,,,,,,,,,Branta canadensis,GOOSE496-16,,
NHS Barcoded,1,91,85,1,CCDB-26453,H01,85,172257641,1722,57641,2009,12-Sep-14,2014,Both Same,Immature,Unknown,Manitoba,50.05,-100.2833333,165,0.12,,183,0.128,,169,0.136,,,,,,,,,,,,,Branta canadensis,GOOSE091-16,,
NHS Barcoded,1,190,184,2,CCDB-25614,H05,89,172257642,1722,57642,2009,12-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.05,-100.2833333,174,0.136,,177,0.14,,176,0.14,,,,,,,,,,,,,Branta canadensis,GOOSE190-16,,
NHS Barcoded,1,1094,1088,12,CCDB-24260,C06,30,172257643,1722,57643,2009,22-Sep-14,2014,Both Same,Immature,Unknown,Manitoba,49.4,-99.31666667,175,0.12,,187,0.128,,179,0.136,,,,,,,,,,,,,Branta canadensis,GOOSE1094-16,,
NHS Barcoded,1,94,88,1,CCDB-26453,H04,88,172257644,1722,57644,2009,12-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.05,-100.2833333,155,, 4B ,181,0.154,,173,0.152,,CR moulting MG,,,,,,,,,,,Branta canadensis,GOOSE094-16,rechecked,
NHS Barcoded,1,1095,1089,12,CCDB-24260,C07,31,172257645,1722,57645,2009,22-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.4,-99.31666667,172,0.106,,182,0.128,,165,0.128,,,,,,,,,,,,,Branta canadensis,GOOSE1095-16,,
NHS Barcoded,1,40,34,1,CCDB-26453,C10,34,172257646,1722,57646,2009,14-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.51666667,-99.95,164,0.12,,168,0.149,,167,0.152,,,,,,,,,,,,,Branta canadensis,GOOSE040-16,,
NHS Barcoded,1,1097,1091,12,CCDB-24260,C09,33,172257647,1722,57647,2009,22-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.4,-99.31666667,176,0.128,,185,0.147,,173,0.144,,,,,,,,,,,,,Branta canadensis,GOOSE1097-16,,
NHS Barcoded,1,41,35,1,CCDB-26453,C11,35,172257648,1722,57648,2009,27-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.25,-100.3833333,175,0.14,,187,0.147,,,,missing,,,,,,,,,,,,Branta canadensis,GOOSE041-16,,
NHS Barcoded,1,1098,1092,12,CCDB-24260,C10,34,172257649,1722,57649,2009,22-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.4,-99.31666667,183,0.12,,193,0.144,,,,1A,,,,,,,,,,,,BOLD No result,,,
NHS Barcoded,1,95,89,1,CCDB-26453,H05,89,172257650,1722,57650,2009,28-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.98333333,-101.4666667,174,0.128,,181,0.144,,180,0.14,,,,,,,,,,,,,Branta canadensis,GOOSE095-16,,
NHS Barcoded,1,1099,1093,12,CCDB-24260,C11,35,172257651,1722,57651,2009,22-Sep-14,2014,TA PI,Immature,Unknown,Manitoba,49.4,-99.31666667,173,0.128,,190,0.147,,175,0.149,,,,,,,,,,,,,Branta canadensis,GOOSE1099-16,,
NHS Barcoded,1,100,94,1,CCDB-26453,H10,94,172257652,1722,57652,2009,28-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.98333333,-101.4666667,,, missing ,174,0.128,,160,0.128,,MG confirmed,,,,,,,,,,,Branta canadensis,GOOSE100-16,rechecked,
NHS Barcoded,1,1096,1090,12,CCDB-24260,C08,32,172257653,1722,57653,2009,22-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.4,-99.31666667,170,0.128,,190,0.136,,193,0.152,,LR remeasured MG,,,,,,,,,,,Branta canadensis,GOOSE1096-16,rechecked,
NHS Barcoded,1,101,95,1,CCDB-26453,H11,95,172257654,1722,57654,2009,12-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.05,-100.2833333,163,0.113,,179,0.14,,172,0.147,,,,,,,,,,,,,Branta canadensis,GOOSE101-16,,
NHS Barcoded,1,192,186,2,CCDB-25614,H07,91,172257655,1722,57655,2009,19-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,50.15,-96.35,165,0.12,,182,0.128,,171,0.147,,,,,,,,,,,,,Branta canadensis,GOOSE192-16,,
NHS Barcoded,1,55,49,1,CCDB-26453,E01,49,172257656,1722,57656,2009,27-Sep-14,2014,Both Same,Immature,Unknown,Manitoba,49.25,-100.3833333,138,, 4A ,161,0.12,,157,0.128,,CR  moulting MG,,,,,,,,,,,Branta canadensis,GOOSE055-16,rechecked,
NHS Barcoded,1,188,182,2,CCDB-25614,H03,87,172257657,1722,57657,2009,19-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,50.15,-96.35,158,0.12,,177,0.157,,160,0.144,,,,,,,,,,,,,Branta canadensis,GOOSE188-16,,
NHS Barcoded,1,56,50,1,CCDB-26453,E02,50,172257658,1722,57658,2009,24-Sep-14,2014,Both Same,Immature,Unknown,Manitoba,49.75,-97.25,,, missing ,155,0.128,,153,0.128,,MG confirmed,,,,,,,,,,,Branta canadensis,GOOSE056-16,rechecked,
NHS Barcoded,1,187,181,2,CCDB-25614,H02,86,172257659,1722,57659,2009,22-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.85,-97.05,133,, 4A ,170,0.136,,161,0.14,,CR moult MG,,,,,,,,,,,Branta canadensis,GOOSE187-16,rechecked,
NHS Barcoded,1,51,45,1,CCDB-26453,D09,45,172257660,1722,57660,2009,24-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.75,-97.25,158,0.12,,171,0.144,,146,0.128,,,,,,,,,,,,,Branta canadensis,GOOSE051-16,,
NHS Barcoded,1,1107,1101,12,CCDB-24260,D07,43,172257661,1722,57661,2009,19-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.41666667,-99.23333333,172,0.12,,187,0.14,,174,0.14,,,,,,,,,,,,,Branta canadensis,GOOSE1107-16,,
NHS Barcoded,1,185,179,2,CCDB-25614,G12,84,172257662,1722,57662,2009,26-Sep-14,2014,Both Same,Immature,Unknown,Manitoba,49.81666667,-100.5,166,0.128,,186,0.128,,176,0.136,,,,,,,,,,,,,Branta canadensis,GOOSE185-16,,
NHS Barcoded,1,1109,1103,12,CCDB-24260,D09,45,172257663,1722,57663,2009,19-Sep-14,2014,TA PI,Immature,Unknown,Manitoba,49.41666667,-99.23333333,156,0.12,,178,0.147,,,,1A,,,,,,,,,,,,Branta canadensis,GOOSE1109-16,,
NHS Barcoded,1,38,32,1,CCDB-26453,C08,32,172257664,1722,57664,2009,27-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.36666667,-99.23333333,173,0.128,,183,0.154,,182,0.152,,,,,,,,,,,,,Branta canadensis,GOOSE038-16,,
NHS Barcoded,1,1110,1104,12,CCDB-24260,D10,46,172257665,1722,57665,2009,19-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.41666667,-99.23333333,180,0.128,,185,0.136,,,,1A,,,,,,,,,,,,Branta canadensis,GOOSE1110-16,,
NHS Barcoded,1,93,87,1,CCDB-26453,H03,87,172257666,1722,57666,2009,26-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.75,-97.25,159,0.128,,166,0.154,,156,0.136,,,,,,,,,,,,,Branta canadensis,GOOSE093-16,,
NHS Barcoded,1,1105,1099,12,CCDB-24260,D05,41,172257667,1722,57667,2009,19-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.41666667,-99.23333333,155,0.128,,181,0.136,,,,1A,,,,,,,,,,,,Branta canadensis,GOOSE1105-16,,
NHS Barcoded,1,193,187,2,CCDB-25614,H08,92,172257668,1722,57668,2009,15-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.18333333,-96.5,172,0.12,,186,0.136,,186,0.136,,LR=ML,,,,,,,,,,,Branta canadensis,GOOSE193-16,,
NHS Barcoded,1,1108,1102,12,CCDB-24260,D08,44,172257669,1722,57669,2009,19-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.41666667,-99.23333333,177,0.128,,194,0.136,,,,1A,,,,,,,,,,,,Branta canadensis,GOOSE1108-16,,
NHS Barcoded,1,99,93,1,CCDB-26453,H09,93,172257670,1722,57670,2009,16-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.2,-96.5,175,0.128,,190,0.147,,190,0.144,,,,,,,,,,,,,Branta canadensis,GOOSE099-16,,
NHS Barcoded,1,1103,1097,12,CCDB-24260,D03,39,172257671,1722,57671,2009,19-Sep-14,2014,TA PI,Immature,Unknown,Manitoba,49.41666667,-99.23333333,178,0.128,,184,0.136,,,,1A,,,,,,,,,,,,Branta canadensis,GOOSE1103-16,,
NHS Barcoded,1,186,180,2,CCDB-25614,H01,85,172257672,1722,57672,2009,22-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.85,-97.05,165,0.116,,191,0.136,,180,0.144,,,,,,,,,,,,,Branta canadensis,GOOSE186-16,,
NHS Barcoded,1,386,380,4,CCDB-26454,H11,95,172257673,1722,57673,2009,27-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.36666667,-99.23333333,179,0.128,,182,0.147,,176,0.144,,,,,,,,,,,,,Branta canadensis,GOOSE386-16,,
NHS Barcoded,1,189,183,2,CCDB-25614,H04,88,172257674,1722,57674,2009,19-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.85,-97.05,,, missing ,183,0.128,,169,0.14,,MG confirmed,,,,,,,,,,,Branta canadensis,GOOSE189-16,rechecked,
NHS Barcoded,1,571,565,6,CCDB 26455,H06,90,172257675,1722,57675,2009,28-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.96666667,-101.4666667,172,0.12,,192,0.14,,,,1A,,,,,,,,,,,,Branta canadensis,GOOSE571-16,,
NHS Barcoded,1,191,185,2,CCDB-25614,H06,90,172257676,1722,57676,2009,24-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.85,-97.05,175,0.12,,187,0.128,,180,0.136,,,,,,,,,,,,,Branta canadensis,GOOSE191-16,,
NHS Barcoded,1,493,487,6,CCDB 26455,A12,12,172257677,1722,57677,2009,27-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.36666667,-99.23333333,166,0.113,,181,0.136,,178,0.14,,LR remeasured MG,,,,,,,,,,,Branta canadensis,GOOSE493-16,rechecked,
NHS Barcoded,1,1106,1100,12,CCDB-24260,D06,42,172257678,1722,57678,2009,19-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.41666667,-99.23333333,169,0.12,,193,0.144,,179,0.147,,,,,,,,,,,,,Branta canadensis,GOOSE1106-16,,
NHS Barcoded,1,491,485,6,CCDB 26455,A10,10,172257679,1722,57679,2009,27-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.36666667,-99.23333333,169,0.12,,176,0.128,,165,0.128,,,,,,,,,,,,,Branta canadensis,GOOSE491-16,,
NHS Barcoded,1,1104,1098,12,CCDB-24260,D04,40,172257680,1722,57680,2009,19-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.41666667,-99.23333333,186,0.128,,204,0.152,,183,0.149,,,,,,,,,,,,,Branta canadensis,GOOSE1104-16,,
NHS Barcoded,1,544,538,6,CCDB 26455,F03,63,172257681,1722,57681,2009,27-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.36666667,-99.23333333,180,0.12,,187,0.136,,179,0.136,,,,,,,,,,,,,Branta canadensis,GOOSE544-16,,
NHS Barcoded,1,542,536,6,CCDB 26455,F01,61,172257682,1722,57682,2009,27-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.36666667,-99.23333333,169,0.12,,186,0.14,,172,0.147, , ,,,,,,,,,,,Branta canadensis,GOOSE542-16,,
NHS Barcoded,1,572,566,6,CCDB 26455,H07,91,172257683,1722,57683,2009,27-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.36666667,-99.23333333,176,0.128,,188,0.136,,174,0.144,,ML white,,,,,,,,,,,Branta canadensis,GOOSE572-16,,
NHS Barcoded,1,54,48,1,CCDB-26453,D12,48,172257684,1722,57684,2009,26-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.75,-97.25,172,0.12,,183,0.144,,,,moulting,,,,,,,,,,,,BOLD No result,,,
NHS Barcoded,1,575,569,6,CCDB 26455,H10,94,172257685,1722,57685,2009,27-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.36666667,-99.23333333,176,0.113,,182,0.136,,176,0.136,,,,,,,,,,,,,Branta canadensis,GOOSE575-16,,
NHS Barcoded,1,545,539,6,CCDB 26455,F04,64,172257686,1722,57686,2009,24-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.75,-97.25,169,0.12,,180,0.128,,163,0.144,,,,,,,,,,,,,Branta canadensis,GOOSE545-16,,
NHS Barcoded,1,541,535,6,CCDB 26455,E12,60,172257687,1722,57687,2009,28-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.96666667,-101.4666667,163,0.12,,176,0.136,,169,0.14,,,,,,,,,,,,,Branta canadensis,GOOSE541-16,,
NHS Barcoded,1,574,568,6,CCDB 26455,H09,93,172257688,1722,57688,2009,26-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.75,-97.25,179,0.116,,190,0.128,,173,0.128,,,,,,,,,,,,,Branta canadensis,GOOSE574-16,,
NHS Barcoded,1,543,537,6,CCDB 26455,F02,62,172257689,1722,57689,2009,26-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.75,-97.25,156,0.116,,174,0.14,,152,0.12,,,,,,,,,,,,,Branta canadensis,GOOSE543-16,,
NHS Barcoded,1,1091,1085,12,CCDB-24260,C03,27,172257690,1722,57690,2009,26-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.75,-97.25,165,0.106,,182,0.128,,170,0.12,,,,,,,,,,,,,Branta canadensis,GOOSE1091-16,,
NHS Barcoded,1,39,33,1,CCDB-26453,C09,33,172257691,1722,57691,2009,26-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.75,-97.25,159,0.116,,179,0.128,,178,0.14,,LR remeasured MG,,,,,,,,,,,Branta canadensis,GOOSE039-16,rechecked,
NHS Barcoded,1,52,46,1,CCDB-26453,D10,46,172257692,1722,57692,2009,24-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.75,-97.25,165,0.12,,177,0.128,,176,0.128,,,,,,,,,,,,,Branta canadensis,GOOSE052-16,,
NHS Barcoded,1,92,86,1,CCDB-26453,H02,86,172257693,1722,57693,2009,26-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.75,-97.25,152,0.116,,171,0.14,,166,0.128,,,,,,,,,,,,,Branta canadensis,GOOSE092-16,,
NHS Barcoded,1,46,40,1,CCDB-26453,D04,40,172257694,1722,57694,2009,21-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.01666667,-96.93333333,158,0.12,,174,0.136,,155,0.136,,,,,,,,,,,,,Branta canadensis,GOOSE046-16,,
NHS Barcoded,1,53,47,1,CCDB-26453,D11,47,172257695,1722,57695,2009,26-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.75,-97.25,135,, 4A ,174,0.14,,162,0.136,,CR moulting MG,,,,,,,,,,,Branta canadensis,GOOSE053-16,rechecked,
NHS Barcoded,1,48,42,1,CCDB-26453,D06,42,172257696,1722,57696,2009,21-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.01666667,-96.93333333,159,0.12,,178,0.136,,170,0.144,,,,,,,,,,,,,Branta canadensis,GOOSE048-16,,
NHS Barcoded,1,50,44,1,CCDB-26453,D08,44,172257697,1722,57697,2009,26-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.75,-97.25,177,0.12,,182,0.136,,171,0.14,,,,,,,,,,,,,Branta canadensis,GOOSE050-16,,
NHS Barcoded,1,47,41,1,CCDB-26453,D05,41,172257698,1722,57698,2009,24-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.75,-97.25,174,0.113,,183,0.128,,178,0.136,,,,,,,,,,,,,Branta canadensis,GOOSE047-16,,
NHS Barcoded,1,535,529,6,CCDB 26455,E06,54,172257699,1722,57699,2009,26-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.75,-97.25,181,0.12,,190,0.136,,174,0.14,,,,,,,,,,,,,Branta canadensis,GOOSE535-16,,
NHS Barcoded,1,44,38,1,CCDB-26453,D02,38,172257700,1722,57700,2009,19-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.95,-97.23333333,,, missing ,173,0.128,,159,0.128,,,,,,,,,,,,,Branta canadensis,GOOSE044-16,,
NHS Barcoded,1,115,109,2,CCDB-25614,B02,14,172257701,1722,57701,2009,11-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.15,-97.1,176,0.12,,186,0.14,,171,0.144,, ,,,,,,,,,,,Branta canadensis,GOOSE115-16,,
NHS Barcoded,1,67,61,1,CCDB-26453,F01,61,172257702,1722,57702,2009,03-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.41666667,-99.23333333,156,0.12,,169,0.128,,167,0.128,,,,,,,,,,,,,Branta canadensis,GOOSE067-16,,
NHS Barcoded,1,671,665,7,CCDB 26630,A01,95,172257703,1722,57703,2009,03-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.41666667,-99.23333333,165,0.12,,177,0.14,,163,0.136,,LR remeasured MG,,,,,,,,,,,Branta canadensis,GOOSE671-16,rechecked,
NHS Barcoded,1,138,132,2,CCDB-25614,D01,37,172257704,1722,57704,2009,03-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.41666667,-99.23333333,172,0.12,,185,0.14,,179,0.152,,"CR remeasured MG, down from 174",,,,,,,,,,,Branta hutchinsii,GOOSE138-16,rechecked,
NHS Barcoded,1,670,664,7,CCDB 26630,A02,94,172257705,1722,57705,2009,03-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.41666667,-99.23333333,183,0.128,,188,0.144,,186,0.144,,,,,,,,,,,,,Branta canadensis,GOOSE670-16,,
NHS Barcoded,1,768,762,9,CCDB-26628,H10,2,172257706,1722,57706,2009,03-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.41666667,-99.23333333,179,0.12,,193,0.144,,,,1A,,,,,,,,,,,,BOLD No result,,,
NHS Barcoded,1,114,108,2,CCDB-25614,B01,13,172257707,1722,57707,2009,03-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.41666667,-99.23333333,168,0.12,,178,0.136,,177,0.147,,,,,,,,,,,,,Branta canadensis,GOOSE114-16,,
NHS Barcoded,1,767,761,9,CCDB-26628,H11,1 new plate,172257708,1722,57708,2009,03-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.41666667,-99.23333333,171,0.12,,183,0.136,,,,1A,,,,,,,,,,,,Branta canadensis,GOOSE767-16,,
NHS Barcoded,1,144,138,2,CCDB-25614,D07,43,172257709,1722,57709,2009,18-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.66666667,-97.08333333,172,0.128,,,,cut,,,CUT,"Good DNA sample difficult to obtain (used superior umbilicus, and tip)",,,,,,,,,,,BOLD No result,,rechecked,
NHS Barcoded,1,141,135,2,CCDB-25614,D04,40,172257710,1722,57710,2009,13-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.76666667,-97.26666667,142,, 4A ,175,0.128,,174,0.128,,CR moult MG,,,,,,,,,,,Branta canadensis,GOOSE141-16,rechecked,
NHS Not Barcoded ,1,2398,,,,,,172257711,1722,57711,2009,18-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.66666667,-97.08333333,157,, 4B ,,,cut,,,CUT, ,,,,,,,,,,,,,,
NHS Barcoded,1,173,167,2,CCDB-25614,F12,72,172257712,1722,57712,2009,02-Nov-14,2014,Both Same,Immature,Unknown,Manitoba,50.06666667,-97.13333333,145,0.12,,144,0.12,,155,0.128,,"CR remeasured JF, MG, up from 137",,,,,,,,,,,Branta canadensis,GOOSE173-16,rechecked,
NHS Barcoded,1,143,137,2,CCDB-25614,D06,42,172257713,1722,57713,2009,22-Oct-14,2014,Both Same,Immature,Unknown,Manitoba,49.81666667,-97.03333333,,, 3B ,154,0.128,,141,0.12,,CR moult MG,,,,,,,,,,,Branta canadensis,GOOSE143-16,rechecked,
NHS Barcoded,1,147,141,2,CCDB-25614,D10,46,172257714,1722,57714,2009,13-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.76666667,-97.26666667,158,0.116,,174,0.136,,168,0.144,,,,,,,,,,,,,Branta canadensis,GOOSE147-16,,
NHS Barcoded,1,176,170,2,CCDB-25614,G03,75,172257715,1722,57715,2009,26-Oct-14,2014,T only,Immature,Unknown,Manitoba,49.56666667,-97.06666667,133,0.12,,160,0.12,,150,0.12,,"CR confirmed JF, MG",,,,,,,,,,,Branta canadensis,GOOSE176-16,rechecked,
NHS Barcoded,1,170,164,2,CCDB-25614,F09,69,172257716,1722,57716,2009,13-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.76666667,-97.26666667,135,, 3B ,162,0.128,,155,0.128,,CR moult,,,,,,,,,,,Branta canadensis,GOOSE170-16,rechecked,
NHS Barcoded,1,142,136,2,CCDB-25614,D05,41,172257717,1722,57717,2009,05-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.13333333,-100.05,,, missing ,188,0.149,,188,0.149,,"CR moult, mLR=ML white in feather",,,,,,,,,,,Branta canadensis,GOOSE142-16,rechecked,
NHS Barcoded,1,174,168,2,CCDB-25614,G01,73,172257718,1722,57718,2009,03-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.63333333,-97.06666667,179,0.136,,185,0.144,,185,0.147,,,,,,,,,,,,,Branta canadensis,GOOSE174-16,,
NHS Barcoded,1,148,142,2,CCDB-25614,D11,47,172257719,1722,57719,2009,13-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,49.76666667,-97.26666667,188,0.144,,199,0.144,,,,moulting,ML moulting,,,,,,,,,,,Branta canadensis,GOOSE148-16,,
NHS Barcoded,1,146,140,2,CCDB-25614,D09,45,172257720,1722,57720,2009,13-Oct-14,2014,Both Same,Immature,Unknown,Manitoba,50.01666667,-96.93333333,,, missing ,164,0.128,,159,0.128,,,,,,,,,,,,,Branta canadensis,GOOSE146-16,rechecked,
NHS Barcoded,1,151,145,2,CCDB-25614,E02,50,172257721,1722,57721,2009,13-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.9,-97.5,160,0.128,,166,0.147,,152,0.14,,,,,,,,,,,,,Branta canadensis,GOOSE151-16,,
NHS Barcoded,1,145,139,2,CCDB-25614,D08,44,172257722,1722,57722,2009,06-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.71666667,-97.08333333,162,0.113,,178,0.128,,168,0.128,,,,,,,,,,,,,Branta canadensis,GOOSE145-16,,
NHS Barcoded,1,150,144,2,CCDB-25614,E01,49,172257723,1722,57723,2009,03-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.63333333,-97.06666667,177,0.128,,183,0.147,,180,0.144,,,,,,,,,,,,,Branta canadensis,GOOSE150-16,,
NHS Barcoded,1,154,148,2,CCDB-25614,E05,53,172257724,1722,57724,2009,01-Oct-14,2014,Both Same,Adult,Unknown,Alberta,52.5,-111.55,142,0.113,,160,0.136,,160,0.136,,LR=ML,,,,,,,,,,,Branta hutchinsii,GOOSE154-16,,
